Date,CLOSE,HIGH,LOW,OPEN
1998-12-01,293.5,294.4,292.45,292.9
1998-12-02,292.8,294.6,292.6,293.5
1998-12-03,291.6,293.35,291.2,293.0
1998-12-04,292.25,292.8,291.6,291.8
1998-12-07,294.9,297.1,291.9,291.9
1998-12-08,293.4,294.9,292.8,294.6
1998-12-09,293.8,294.8,292.75,293.65
1998-12-10,294.0,295.4,293.7,293.9
1998-12-11,290.6,295.5,289.1,294.45
1998-12-14,291.1,292.1,290.1,290.9
1998-12-15,292.5,293.2,291.1,291.1
1998-12-16,294.8,295.0,292.4,292.6
1998-12-17,291.5,296.0,290.7,295.5
1998-12-18,289.0,292.5,288.4,291.55
1998-12-21,288.7,290.2,288.1,289.4
1998-12-22,287.85,289.2,286.7,288.6
1998-12-23,286.5,288.05,285.1,288.0
1998-12-24,286.1,287.45,285.4,286.7
1998-12-25,286.5,286.5,286.0,286.0
1998-12-28,286.5,286.75,285.3,286.1
1998-12-29,286.0,287.7,285.7,286.4
1998-12-30,286.9,287.9,285.9,286.0
1998-12-31,288.0,288.4,286.7,287.0
1999-01-04,287.1,288.8,286.2,288.3
1999-01-05,286.7,287.7,286.0,287.4
1999-01-06,287.5,287.8,286.25,286.75
1999-01-07,291.3,291.7,287.5,288.0
1999-01-08,291.0,292.0,290.1,290.8
1999-01-11,292.65,293.25,290.4,291.25
1999-01-12,288.3,292.7,286.9,292.65
1999-01-13,286.7,288.7,284.4,288.6
1999-01-14,286.6,286.9,285.1,286.0
1999-01-15,286.8,286.9,284.9,286.3
1999-01-18,286.7,287.1,286.2,286.4
1999-01-19,286.3,287.5,285.3,286.8
1999-01-20,287.0,287.1,285.2,286.4
1999-01-21,287.5,288.5,286.65,286.9
1999-01-22,286.3,287.7,285.7,287.35
1999-01-25,287.6,288.2,285.9,286.2
1999-01-26,285.9,287.7,285.3,287.5
1999-01-27,283.1,286.1,282.3,285.8
1999-01-28,283.9,285.2,281.5,283.05
1999-01-29,286.1,286.7,284.05,284.1
1999-02-01,288.5,288.8,286.35,286.4
1999-02-02,288.4,290.1,288.1,288.4
1999-02-03,287.3,289.0,286.0,288.2
1999-02-04,289.2,290.0,286.65,287.25
1999-02-05,288.3,290.25,288.2,289.3
1999-02-08,289.25,289.7,288.4,288.5
1999-02-09,287.4,288.95,286.5,288.8
1999-02-10,287.0,288.4,286.75,287.25
1999-02-11,287.5,288.0,286.35,286.85
1999-02-12,289.3,290.2,286.75,287.4
1999-02-15,289.25,290.35,289.15,289.15
1999-02-16,285.2,288.7,284.1,288.6
1999-02-17,284.6,286.2,284.1,284.1
1999-02-18,285.5,286.1,284.75,284.8
1999-02-19,288.0,288.7,285.6,286.1
1999-02-22,286.9,288.0,285.9,287.35
1999-02-23,287.0,287.4,286.0,286.8
1999-02-24,287.5,288.2,285.55,287.1
1999-02-25,287.5,287.9,286.1,287.5
1999-02-26,286.6,287.6,285.1,287.6
1999-03-01,286.25,287.05,285.1,286.65
1999-03-02,286.7,288.9,285.9,286.2
1999-03-03,286.8,287.0,285.5,286.6
1999-03-04,287.7,288.6,285.95,286.3
1999-03-05,287.9,288.5,286.9,288.1
1999-03-08,291.0,291.4,287.55,287.85
1999-03-09,291.7,294.0,291.0,291.2
